theta	phi(  2)	phi(  4)	phi(  6)	phi(  9)	phi( 13)	phi( 18)	phi( 24)	phi( 30)	phi( 37)	phi( 45)	phi( 54)	phi( 64)	phi( 74)	phi( 85)	phi( 97)
 252.00	  90.00065	  89.98668	  89.95669	  89.89678	  89.81301	  89.72011	  89.62768	  89.55084	  89.47797	  89.41782	  89.37946	  89.37584	  89.41041	  89.29273	  89.60055
 255.60	  90.00011	  89.98374	  89.95126	  89.88732	  89.79805	  89.69852	  89.59848	  89.51435	  89.43339	  89.36454	  89.31644	  89.30080	  89.32061	  89.18816	  89.41069
 259.20	  89.99953	  89.98059	  89.94549	  89.87737	  89.78241	  89.67592	  89.56780	  89.47585	  89.38610	  89.30762	  89.24857	  89.21939	  89.22278	  89.07458	  89.21433
 262.80	  89.99892	  89.97727	  89.93940	  89.86695	  89.76609	  89.65234	  89.53569	  89.43538	  89.33612	  89.24708	  89.17586	  89.13169	  89.11721	  88.95216	  89.02484
 266.40	  89.99828	  89.97384	  89.93305	  89.85611	  89.74916	  89.62785	  89.50222	  89.39303	  89.28356	  89.18302	  89.09844	  89.03790	  89.00431	  88.82130	  88.84052
 270.00	  89.99764	  89.97034	  89.92651	  89.84491	  89.73168	  89.60254	  89.46752	  89.34895	  89.22860	  89.11566	  89.01655	  88.93833	  88.88462	  88.68260	  88.64803
 273.60	  89.99699	  89.96682	  89.91987	  89.83345	  89.71376	  89.57655	  89.43178	  89.30339	  89.17154	  89.04533	  88.93056	  88.83345	  88.75879	  88.53674	  88.43956
 277.20	  89.99637	  89.96332	  89.91322	  89.82186	  89.69555	  89.55007	  89.39525	  89.25666	  89.11276	  88.97251	  88.84102	  88.72383	  88.62754	  88.38450	  88.22343
 280.80	  89.99576	  89.95989	  89.90664	  89.81027	  89.67723	  89.52335	  89.35828	  89.20919	  89.05279	  88.89784	  88.74868	  88.61030	  88.49177	  88.22676	  88.01564
 284.40	  89.99518	  89.95657	  89.90022	  89.79885	  89.65903	  89.49669	  89.32127	  89.16153	  88.99231	  88.82216	  88.65451	  88.49391	  88.35252	  88.06450	  87.82199
 288.00	  89.99464	  89.95342	  89.89405	  89.78776	  89.64121	  89.47048	  89.28476	  89.11433	  88.93217	  88.74652	  88.55978	  88.37602	  88.21107	  87.89889	  87.63183
 291.60	  89.99414	  89.95051	  89.88828	  89.77721	  89.62410	  89.44518	  89.24935	  89.06839	  88.87336	  88.67217	  88.46598	  88.25824	  88.06890	  87.73132	  87.43058
 295.20	  89.99369	  89.94790	  89.88304	  89.76745	  89.60807	  89.42131	  89.21579	  89.02464	  88.81705	  88.60054	  88.37475	  88.14233	  87.92770	  87.56348	  87.21631
 298.80	  89.99331	  89.94569	  89.87850	  89.75876	  89.59355	  89.39949	  89.18489	  88.98414	  88.76459	  88.53330	  88.28798	  88.03019	  87.78934	  87.39739	  87.00125
 302.40	  89.99301	  89.94392	  89.87481	  89.75145	  89.58104	  89.38041	  89.15760	  88.94807	  88.71749	  88.47232	  88.20781	  87.92390	  87.65582	  87.23544	  86.79746
 306.00	  89.99279	  89.94266	  89.87213	  89.74585	  89.57107	  89.36483	  89.13492	  88.91775	  88.67742	  88.41971	  88.13673	  87.82589	  87.52930	  87.08040	  86.60408
 309.60	  89.99266	  89.94196	  89.87057	  89.74227	  89.56421	  89.35358	  89.11799	  88.89457	  88.64616	  88.37779	  88.07760	  87.73908	  87.41225	  86.93544	  86.41028
 313.20	  89.99263	  89.94189	  89.87027	  89.74103	  89.56106	  89.34757	  89.10799	  88.88004	  88.62560	  88.34895	  88.03364	  87.66705	  87.30760	  86.80402	  86.20942
 316.80	  89.99269	  89.94249	  89.87136	  89.74245	  89.56223	  89.34773	  89.10622	  88.87574	  88.61764	  88.33558	  88.00825	  87.61428	  87.21905	  86.68979	  86.00713
 320.40	  89.99284	  89.94379	  89.87397	  89.74681	  89.56832	  89.35506	  89.11404	  88.88333	  88.62423	  88.33998	  88.00469	  87.58618	  87.15179	  86.59643	  85.81575
 324.00	  89.99310	  89.94582	  89.87822	  89.75442	  89.57989	  89.37051	  89.13286	  88.90456	  88.64743	  88.36439	  88.02581	  87.58854	  87.11347	  86.52838	  85.64510
 327.60	  89.99345	  89.94860	  89.88415	  89.76548	  89.59743	  89.39495	  89.16403	  88.94126	  88.68941	  88.41116	  88.07404	  87.62613	  87.11462	  86.49367	  85.50461
 331.20	  89.99390	  89.95212	  89.89180	  89.78012	  89.62127	  89.42905	  89.20876	  88.99519	  88.75252	  88.48299	  88.15201	  87.70196	  87.16602	  86.50780	  85.41068
 334.80	  89.99445	  89.95636	  89.90112	  89.79832	  89.65151	  89.47317	  89.26790	  89.06786	  88.83913	  88.58313	  88.26343	  87.81888	  87.27453	  86.59256	  85.37068
 338.40	  89.99507	  89.96125	  89.91201	  89.81994	  89.68801	  89.52727	  89.34166	  89.16002	  88.95103	  88.71491	  88.41352	  87.98220	  87.44340	  86.76575	  85.39688
 342.00	  89.99578	  89.96675	  89.92435	  89.84474	  89.73033	  89.59074	  89.42933	  89.27103	  89.08819	  88.88000	  88.60771	  88.20155	  87.67829	  87.03064	  85.53587
 345.60	  89.99654	  89.97275	  89.93793	  89.87232	  89.77782	  89.66249	  89.52922	  89.39859	  89.24768	  89.07549	  88.84628	  88.48835	  87.99846	  87.39118	  85.86108
 349.20	  89.99736	  89.97919	  89.95254	  89.90221	  89.82959	  89.74102	  89.63888	  89.53904	  89.42406	  89.29330	  89.11827	  88.83760	  88.42824	  87.89199	  86.45193
 352.80	  89.99822	  89.98594	  89.96793	  89.93385	  89.88462	  89.82462	  89.75562	  89.68842	  89.61137	  89.52424	  89.40774	  89.21984	  88.93995	  88.55461	  87.31779
 356.40	  89.99910	  89.99292	  89.98384	  89.96664	  89.94178	  89.91151	  89.87679	  89.84308	  89.80460	  89.76133	  89.70371	  89.61085	  89.47260	  89.28166	  88.60971
 360.00	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000
