R(  2)	Z(  2)	R(  4)	Z(  4)	R(  6)	Z(  6)	R(  9)	Z(  9)	R( 13)	Z( 13)	R( 18)	Z( 18)	R( 24)	Z( 24)	R( 30)	Z( 30)	R( 37)	Z( 37)	R( 45)	Z( 45)	R( 54)	Z( 54)	R( 64)	Z( 64)	R( 74)	Z( 74)	R( 85)	Z( 85)	R( 97)	Z( 97)
 4.387683E+00	 2.527465E-01	 4.387468E+00	 4.348164E-01	 4.380693E+00	 5.568768E-01	 4.366979E+00	 6.967904E-01	 4.347717E+00	 8.430347E-01	 4.325370E+00	 9.915888E-01	 4.301486E+00	 1.141242E+00	 4.279991E+00	 1.271186E+00	 4.256943E+00	 1.405789E+00	 4.232364E+00	 1.543660E+00	 4.204775E+00	 1.684613E+00	 4.168551E+00	 1.830622E+00	 4.118562E+00	 1.973062E+00	 4.041625E+00	 2.131313E+00	 3.902475E+00	 2.314124E+00
 4.378429E+00	 2.566608E-01	 4.371297E+00	 4.419765E-01	 4.359648E+00	 5.662462E-01	 4.340176E+00	 7.088334E-01	 4.314706E+00	 8.580083E-01	 4.285894E+00	 1.009632E+00	 4.255397E+00	 1.162436E+00	 4.228131E+00	 1.295214E+00	 4.199125E+00	 1.432929E+00	 4.168544E+00	 1.574278E+00	 4.135071E+00	 1.719257E+00	 4.093262E+00	 1.870174E+00	 4.038266E+00	 2.017920E+00	 3.955029E+00	 2.180982E+00	 3.804382E+00	 2.366895E+00
 4.369111E+00	 2.597072E-01	 4.354999E+00	 4.474150E-01	 4.338458E+00	 5.734057E-01	 4.313180E+00	 7.181480E-01	 4.281465E+00	 8.697329E-01	 4.246148E+00	 1.023873E+00	 4.208993E+00	 1.179266E+00	 4.175920E+00	 1.314415E+00	 4.140929E+00	 1.454803E+00	 4.104324E+00	 1.599232E+00	 4.064936E+00	 1.747876E+00	 4.017493E+00	 1.903374E+00	 3.957449E+00	 2.056103E+00	 3.868059E+00	 2.223846E+00	 3.708470E+00	 2.415905E+00
 4.359767E+00	 2.618746E-01	 4.338646E+00	 4.510549E-01	 4.317220E+00	 5.782670E-01	 4.286122E+00	 7.246266E-01	 4.248151E+00	 8.780682E-01	 4.206317E+00	 1.034128E+00	 4.162493E+00	 1.191502E+00	 4.123602E+00	 1.328505E+00	 4.082608E+00	 1.471058E+00	 4.039939E+00	 1.618067E+00	 3.994548E+00	 1.769885E+00	 3.941315E+00	 1.929581E+00	 3.876120E+00	 2.087271E+00	 3.781043E+00	 2.260889E+00	 3.616109E+00	 2.464120E+00
 4.350440E+00	 2.631043E-01	 4.322335E+00	 4.528660E-01	 4.296074E+00	 5.807919E-01	 4.259207E+00	 7.281945E-01	 4.215038E+00	 8.828769E-01	 4.166757E+00	 1.040199E+00	 4.116344E+00	 1.198885E+00	 4.071709E+00	 1.337160E+00	 4.024783E+00	 1.481269E+00	 3.976102E+00	 1.630214E+00	 3.924718E+00	 1.784547E+00	 3.865662E+00	 1.947940E+00	 3.795392E+00	 2.110819E+00	 3.695413E+00	 2.292361E+00	 3.528473E+00	 2.512728E+00
 4.341185E+00	 2.633064E-01	 4.306174E+00	 4.528822E-01	 4.275170E+00	 5.810164E-01	 4.232680E+00	 7.288470E-01	 4.182473E+00	 8.840890E-01	 4.127933E+00	 1.041970E+00	 4.071150E+00	 1.201257E+00	 4.020980E+00	 1.340170E+00	 3.968350E+00	 1.485143E+00	 3.913891E+00	 1.635262E+00	 3.856753E+00	 1.791299E+00	 3.792129E+00	 1.957702E+00	 3.717155E+00	 2.125907E+00	 3.613220E+00	 2.317108E+00	 3.446548E+00	 2.559812E+00
 4.332054E+00	 2.623930E-01	 4.290253E+00	 4.511815E-01	 4.254635E+00	 5.790319E-01	 4.206740E+00	 7.266509E-01	 4.150756E+00	 8.817358E-01	 4.090257E+00	 1.039464E+00	 4.027450E+00	 1.198645E+00	 3.972081E+00	 1.337560E+00	 3.914127E+00	 1.482690E+00	 3.854313E+00	 1.633181E+00	 3.791884E+00	 1.790043E+00	 3.722221E+00	 1.958574E+00	 3.643168E+00	 2.131744E+00	 3.536224E+00	 2.332883E+00	 3.371301E+00	 2.600166E+00
 4.323093E+00	 2.603118E-01	 4.274628E+00	 4.478277E-01	 4.234538E+00	 5.749200E-01	 4.181486E+00	 7.216889E-01	 4.120028E+00	 8.759073E-01	 4.053915E+00	 1.032801E+00	 3.985477E+00	 1.191209E+00	 3.925295E+00	 1.329531E+00	 3.862465E+00	 1.474152E+00	 3.797798E+00	 1.624268E+00	 3.730644E+00	 1.781104E+00	 3.656593E+00	 1.950738E+00	 3.574228E+00	 2.127773E+00	 3.465250E+00	 2.337195E+00	 3.303784E+00	 2.626481E+00
 4.314331E+00	 2.570652E-01	 4.259339E+00	 4.428114E-01	 4.214902E+00	 5.686750E-01	 4.156902E+00	 7.139725E-01	 4.090236E+00	 8.666477E-01	 4.018808E+00	 1.022056E+00	 3.945078E+00	 1.179059E+00	 3.880414E+00	 1.316231E+00	 3.813088E+00	 1.459729E+00	 3.744000E+00	 1.608788E+00	 3.672614E+00	 1.764798E+00	 3.594787E+00	 1.934398E+00	 3.509980E+00	 2.113450E+00	 3.400204E+00	 2.327843E+00	 3.244986E+00	 2.631487E+00
 4.305780E+00	 2.527042E-01	 4.244426E+00	 4.360327E-01	 4.195742E+00	 5.601723E-01	 4.132928E+00	 7.033860E-01	 4.061221E+00	 8.538650E-01	 3.984664E+00	 1.007138E+00	 3.905851E+00	 1.162085E+00	 3.836905E+00	 1.297527E+00	 3.765310E+00	 1.439271E+00	 3.692058E+00	 1.586578E+00	 3.616754E+00	 1.740924E+00	 3.535660E+00	 1.909191E+00	 3.449399E+00	 2.087826E+00	 3.340537E+00	 2.302895E+00	 3.195401E+00	 2.610211E+00
