        r	      dnnbi	       dne	       dni	      tbn	        ti	        te	      vfova	      cureq	       feq	     pressure	       iota	        q	       1/D	    curvature	      shear	        eta
  0.2650000E+00	  0.8409955E+00	  0.9273461E+00	  0.9424228E+00	  0.9400283E+00	  0.8034263E+00	  0.7604415E+00	  0.4642526E+00	 -0.4093933E-02	  0.1008038E+01	  0.7693053E+00	  0.4989803E+00	  0.2004087E+01	  0.9466965E+00	 -0.3521097E+00	  0.5540446E-01	  0.1529751E+01
  0.2700000E+00	  0.8353054E+00	  0.9246781E+00	  0.9406359E+00	  0.9378039E+00	  0.7983642E+00	  0.7538264E+00	  0.4642526E+00	 -0.4261767E-02	  0.1008272E+01	  0.7617734E+00	  0.4995030E+00	  0.2001990E+01	  0.9449318E+00	 -0.3535754E+00	  0.5673462E-01	  0.1551456E+01
  0.2750000E+00	  0.8294139E+00	  0.9219629E+00	  0.9383284E+00	  0.9355933E+00	  0.7932713E+00	  0.7471668E+00	  0.4642526E+00	 -0.4433336E-02	  0.1008504E+01	  0.7541943E+00	  0.5000299E+00	  0.1999880E+01	  0.9431607E+00	 -0.3547466E+00	  0.5830416E-01	  0.1573007E+01
  0.2800000E+00	  0.8233990E+00	  0.9192074E+00	  0.9359892E+00	  0.9333775E+00	  0.7881477E+00	  0.7404645E+00	  0.4642526E+00	 -0.4608631E-02	  0.1008737E+01	  0.7465684E+00	  0.5005631E+00	  0.1997750E+01	  0.9413844E+00	 -0.3556556E+00	  0.6010508E-01	  0.1595205E+01
  0.2850000E+00	  0.8173460E+00	  0.9164201E+00	  0.9341116E+00	  0.9311366E+00	  0.7829932E+00	  0.7337215E+00	  0.4642526E+00	 -0.4787639E-02	  0.1008968E+01	  0.7388948E+00	  0.5011044E+00	  0.1995592E+01	  0.9396041E+00	 -0.3563085E+00	  0.6198243E-01	  0.1618911E+01
  0.2900000E+00	  0.8111833E+00	  0.9136033E+00	  0.9322098E+00	  0.9288589E+00	  0.7778097E+00	  0.7269397E+00	  0.4642526E+00	 -0.4970336E-02	  0.1009199E+01	  0.7311722E+00	  0.5016529E+00	  0.1993410E+01	  0.9378213E+00	 -0.3567075E+00	  0.6370202E-01	  0.1643327E+01
  0.2950000E+00	  0.8048329E+00	  0.9107556E+00	  0.9297986E+00	  0.9265332E+00	  0.7725990E+00	  0.7201210E+00	  0.4642526E+00	 -0.5156704E-02	  0.1009430E+01	  0.7234004E+00	  0.5022063E+00	  0.1991213E+01	  0.9360371E+00	 -0.3568604E+00	  0.6488973E-01	  0.1667610E+01
  0.3000000E+00	  0.7983491E+00	  0.9078658E+00	  0.9273771E+00	  0.9241452E+00	  0.7673620E+00	  0.7132670E+00	  0.4642526E+00	 -0.5346733E-02	  0.1009659E+01	  0.7155827E+00	  0.5027576E+00	  0.1989030E+01	  0.9342527E+00	 -0.3567741E+00	  0.6525803E-01	  0.1692670E+01
  0.3050000E+00	  0.7918038E+00	  0.9049260E+00	  0.9254390E+00	  0.9216801E+00	  0.7620992E+00	  0.7063790E+00	  0.4642526E+00	 -0.5540416E-02	  0.1009889E+01	  0.7077228E+00	  0.5033000E+00	  0.1986887E+01	  0.9324693E+00	 -0.3564506E+00	  0.6508530E-01	  0.1719467E+01
  0.3100000E+00	  0.7852056E+00	  0.9019503E+00	  0.9234738E+00	  0.9191239E+00	  0.7568113E+00	  0.6994593E+00	  0.4642526E+00	 -0.5737746E-02	  0.1010117E+01	  0.6998245E+00	  0.5038316E+00	  0.1984790E+01	  0.9306882E+00	 -0.3558891E+00	  0.6482446E-01	  0.1747084E+01
  0.3150000E+00	  0.7785583E+00	  0.8989526E+00	  0.9209709E+00	  0.9164665E+00	  0.7514992E+00	  0.6925104E+00	  0.4642526E+00	 -0.5938737E-02	  0.1010343E+01	  0.6918941E+00	  0.5043535E+00	  0.1982736E+01	  0.9289104E+00	 -0.3550883E+00	  0.6497788E-01	  0.1774538E+01
  0.3200000E+00	  0.7719076E+00	  0.8959237E+00	  0.9184243E+00	  0.9137119E+00	  0.7461644E+00	  0.6855338E+00	  0.4642526E+00	 -0.6143419E-02	  0.1010569E+01	  0.6839391E+00	  0.5048720E+00	  0.1980700E+01	  0.9271373E+00	 -0.3540491E+00	  0.6595666E-01	  0.1802788E+01
  0.3250000E+00	  0.7653025E+00	  0.8928521E+00	  0.9163291E+00	  0.9108707E+00	  0.7408082E+00	  0.6785309E+00	  0.4642526E+00	 -0.6351826E-02	  0.1010792E+01	  0.6759675E+00	  0.5053942E+00	  0.1978654E+01	  0.9253699E+00	 -0.3527825E+00	  0.6767329E-01	  0.1832876E+01
  0.3300000E+00	  0.7587641E+00	  0.8897414E+00	  0.9141802E+00	  0.9079677E+00	  0.7354314E+00	  0.6715033E+00	  0.4642526E+00	 -0.6563986E-02	  0.1011013E+01	  0.6679879E+00	  0.5059244E+00	  0.1976580E+01	  0.9236095E+00	 -0.3513104E+00	  0.6990648E-01	  0.1863852E+01
  0.3350000E+00	  0.7523047E+00	  0.8865978E+00	  0.9114720E+00	  0.9050278E+00	  0.7300347E+00	  0.6644526E+00	  0.4642526E+00	 -0.6779903E-02	  0.1011231E+01	  0.6600095E+00	  0.5064659E+00	  0.1974467E+01	  0.9218568E+00	 -0.3496486E+00	  0.7244909E-01	  0.1894682E+01
  0.3400000E+00	  0.7459299E+00	  0.8834256E+00	  0.9086970E+00	  0.9020634E+00	  0.7246192E+00	  0.6573811E+00	  0.4642526E+00	 -0.6999584E-02	  0.1011447E+01	  0.6520422E+00	  0.5070197E+00	  0.1972310E+01	  0.9201130E+00	 -0.3478223E+00	  0.7508550E-01	  0.1926367E+01
  0.3450000E+00	  0.7396382E+00	  0.8802270E+00	  0.9063524E+00	  0.8990820E+00	  0.7191860E+00	  0.6502908E+00	  0.4642526E+00	 -0.7223031E-02	  0.1011659E+01	  0.6440917E+00	  0.5075856E+00	  0.1970111E+01	  0.9183786E+00	 -0.3458879E+00	  0.7757821E-01	  0.1960002E+01
  0.3500000E+00	  0.7334050E+00	  0.8769987E+00	  0.9039572E+00	  0.8960835E+00	  0.7137360E+00	  0.6431839E+00	  0.4642526E+00	 -0.7450239E-02	  0.1011867E+01	  0.6361572E+00	  0.5081611E+00	  0.1967880E+01	  0.9166541E+00	 -0.3438924E+00	  0.7969413E-01	  0.1994627E+01
  0.3550000E+00	  0.7272051E+00	  0.8737366E+00	  0.9010305E+00	  0.8930678E+00	  0.7082697E+00	  0.6360622E+00	  0.4642526E+00	 -0.7681200E-02	  0.1012072E+01	  0.6282361E+00	  0.5087427E+00	  0.1965630E+01	  0.9149397E+00	 -0.3418609E+00	  0.8127177E-01	  0.2029202E+01
  0.3600000E+00	  0.7210346E+00	  0.8704383E+00	  0.8980713E+00	  0.8900402E+00	  0.7027887E+00	  0.6289269E+00	  0.4642526E+00	 -0.7915907E-02	  0.1012275E+01	  0.6203258E+00	  0.5093258E+00	  0.1963380E+01	  0.9132355E+00	 -0.3398255E+00	  0.8223779E-01	  0.2064849E+01
  0.3650000E+00	  0.7148794E+00	  0.8671044E+00	  0.8955761E+00	  0.8870083E+00	  0.6972945E+00	  0.6217791E+00	  0.4642526E+00	 -0.8154360E-02	  0.1012474E+01	  0.6124235E+00	  0.5099062E+00	  0.1961145E+01	  0.9115414E+00	 -0.3378164E+00	  0.8282078E-01	  0.2102774E+01
  0.3700000E+00	  0.7086643E+00	  0.8637445E+00	  0.8930527E+00	  0.8839822E+00	  0.6917873E+00	  0.6146211E+00	  0.4642526E+00	 -0.8396559E-02	  0.1012671E+01	  0.6045259E+00	  0.5104828E+00	  0.1958930E+01	  0.9098573E+00	 -0.3358472E+00	  0.8324582E-01	  0.2141885E+01
