       r	   dnnbi(m^-3)	    dne(m^-3)	    dni(m^-3)	     tbn(keV)	     ti(keV)	     te(keV)	   vzt_eq(m/s)	   vth_eq(m/s)	  vthermalep(m/s)	       etann(MKS)
  0.2600000E+00	  0.5475000E+19	  0.4181800E+20	  0.3047900E+20	  0.4140428E+05	  0.4789890E+04	  0.4095690E+04	  0.0000000E+00	  0.0000000E+00	  0.1408383E+07	  0.1508717E+01
  0.2650000E+00	  0.5438798E+19	  0.4169997E+20	  0.3042168E+20	  0.4130547E+05	  0.4760092E+04	  0.4060613E+04	  0.0000000E+00	  0.0000000E+00	  0.1406701E+07	  0.1529751E+01
  0.2700000E+00	  0.5402000E+19	  0.4158000E+20	  0.3036400E+20	  0.4120773E+05	  0.4730100E+04	  0.4025290E+04	  0.0000000E+00	  0.0000000E+00	  0.1405036E+07	  0.1551456E+01
  0.2750000E+00	  0.5363899E+19	  0.4145790E+20	  0.3028951E+20	  0.4111060E+05	  0.4699926E+04	  0.3989729E+04	  0.0000000E+00	  0.0000000E+00	  0.1403379E+07	  0.1573007E+01
  0.2800000E+00	  0.5325000E+19	  0.4133400E+20	  0.3021400E+20	  0.4101323E+05	  0.4669570E+04	  0.3953940E+04	  0.0000000E+00	  0.0000000E+00	  0.1401716E+07	  0.1595205E+01
  0.2850000E+00	  0.5285855E+19	  0.4120866E+20	  0.3015339E+20	  0.4091477E+05	  0.4639031E+04	  0.3917933E+04	  0.0000000E+00	  0.0000000E+00	  0.1400033E+07	  0.1618911E+01
  0.2900000E+00	  0.5246000E+19	  0.4108200E+20	  0.3009200E+20	  0.4081468E+05	  0.4608320E+04	  0.3881720E+04	  0.0000000E+00	  0.0000000E+00	  0.1398319E+07	  0.1643327E+01
  0.2950000E+00	  0.5204931E+19	  0.4095395E+20	  0.3001417E+20	  0.4071249E+05	  0.4577448E+04	  0.3845310E+04	  0.0000000E+00	  0.0000000E+00	  0.1396568E+07	  0.1667610E+01
  0.3000000E+00	  0.5163000E+19	  0.4082400E+20	  0.2993600E+20	  0.4060756E+05	  0.4546420E+04	  0.3808710E+04	  0.0000000E+00	  0.0000000E+00	  0.1394767E+07	  0.1692670E+01
  0.3050000E+00	  0.5120671E+19	  0.4069181E+20	  0.2987344E+20	  0.4049924E+05	  0.4515239E+04	  0.3771929E+04	  0.0000000E+00	  0.0000000E+00	  0.1392905E+07	  0.1719467E+01
  0.3100000E+00	  0.5078000E+19	  0.4055800E+20	  0.2981000E+20	  0.4038692E+05	  0.4483910E+04	  0.3734980E+04	  0.0000000E+00	  0.0000000E+00	  0.1390972E+07	  0.1747084E+01
  0.3150000E+00	  0.5035011E+19	  0.4042320E+20	  0.2972921E+20	  0.4027015E+05	  0.4452437E+04	  0.3697874E+04	  0.0000000E+00	  0.0000000E+00	  0.1388960E+07	  0.1774538E+01
  0.3200000E+00	  0.4992000E+19	  0.4028700E+20	  0.2964700E+20	  0.4014911E+05	  0.4420830E+04	  0.3660620E+04	  0.0000000E+00	  0.0000000E+00	  0.1386871E+07	  0.1802788E+01
  0.3250000E+00	  0.4949284E+19	  0.4014888E+20	  0.2957937E+20	  0.4002427E+05	  0.4389096E+04	  0.3623226E+04	  0.0000000E+00	  0.0000000E+00	  0.1384713E+07	  0.1832876E+01
  0.3300000E+00	  0.4907000E+19	  0.4000900E+20	  0.2951000E+20	  0.3989671E+05	  0.4357240E+04	  0.3585700E+04	  0.0000000E+00	  0.0000000E+00	  0.1382505E+07	  0.1863852E+01
  0.3350000E+00	  0.4865226E+19	  0.3986764E+20	  0.2942258E+20	  0.3976753E+05	  0.4325266E+04	  0.3548051E+04	  0.0000000E+00	  0.0000000E+00	  0.1380265E+07	  0.1894682E+01
  0.3400000E+00	  0.4824000E+19	  0.3972500E+20	  0.2933300E+20	  0.3963727E+05	  0.4293180E+04	  0.3510290E+04	  0.0000000E+00	  0.0000000E+00	  0.1378002E+07	  0.1926367E+01
  0.3450000E+00	  0.4783311E+19	  0.3958117E+20	  0.2925732E+20	  0.3950626E+05	  0.4260990E+04	  0.3472429E+04	  0.0000000E+00	  0.0000000E+00	  0.1375723E+07	  0.1960002E+01
  0.3500000E+00	  0.4743000E+19	  0.3943600E+20	  0.2918000E+20	  0.3937451E+05	  0.4228700E+04	  0.3434480E+04	  0.0000000E+00	  0.0000000E+00	  0.1373427E+07	  0.1994627E+01
  0.3550000E+00	  0.4702905E+19	  0.3928931E+20	  0.2908553E+20	  0.3924199E+05	  0.4196313E+04	  0.3396451E+04	  0.0000000E+00	  0.0000000E+00	  0.1371114E+07	  0.2029202E+01
  0.3600000E+00	  0.4663000E+19	  0.3914100E+20	  0.2899000E+20	  0.3910896E+05	  0.4163840E+04	  0.3358350E+04	  0.0000000E+00	  0.0000000E+00	  0.1368788E+07	  0.2064849E+01
  0.3650000E+00	  0.4623194E+19	  0.3899108E+20	  0.2890946E+20	  0.3897574E+05	  0.4131288E+04	  0.3320182E+04	  0.0000000E+00	  0.0000000E+00	  0.1366455E+07	  0.2102774E+01
  0.3700000E+00	  0.4583000E+19	  0.3884000E+20	  0.2882800E+20	  0.3884277E+05	  0.4098660E+04	  0.3281960E+04	  0.0000000E+00	  0.0000000E+00	  0.1364122E+07	  0.2141885E+01
  0.3750000E+00	  0.4541945E+19	  0.3868810E+20	  0.2872978E+20	  0.3871037E+05	  0.4065957E+04	  0.3243696E+04	  0.0000000E+00	  0.0000000E+00	  0.1361795E+07	  0.2180999E+01
  0.3800000E+00	  0.4500000E+19	  0.3853500E+20	  0.2863100E+20	  0.3857823E+05	  0.4033190E+04	  0.3205400E+04	  0.0000000E+00	  0.0000000E+00	  0.1359469E+07	  0.2221359E+01
  0.3850000E+00	  0.4457276E+19	  0.3838025E+20	  0.2854794E+20	  0.3844594E+05	  0.4000370E+04	  0.3167082E+04	  0.0000000E+00	  0.0000000E+00	  0.1357136E+07	  0.2264326E+01
  0.3900000E+00	  0.4414000E+19	  0.3822400E+20	  0.2846500E+20	  0.3831326E+05	  0.3967500E+04	  0.3128750E+04	  0.0000000E+00	  0.0000000E+00	  0.1354792E+07	  0.2308764E+01
  0.3950000E+00	  0.4370325E+19	  0.3806651E+20	  0.2836634E+20	  0.3818011E+05	  0.3934581E+04	  0.3090413E+04	  0.0000000E+00	  0.0000000E+00	  0.1352436E+07	  0.2353403E+01
  0.4000000E+00	  0.4326000E+19	  0.3790800E+20	  0.2826700E+20	  0.3804694E+05	  0.3901620E+04	  0.3052080E+04	  0.0000000E+00	  0.0000000E+00	  0.1350075E+07	  0.2399473E+01
  0.4050000E+00	  0.4280799E+19	  0.3774858E+20	  0.2818221E+20	  0.3791423E+05	  0.3868624E+04	  0.3013763E+04	  0.0000000E+00	  0.0000000E+00	  0.1347719E+07	  0.2448340E+01
  0.4100000E+00	  0.4235000E+19	  0.3758800E+20	  0.2809700E+20	  0.3778204E+05	  0.3835600E+04	  0.2975470E+04	  0.0000000E+00	  0.0000000E+00	  0.1345367E+07	  0.2498839E+01
  0.4150000E+00	  0.4188979E+19	  0.3742605E+20	  0.2799632E+20	  0.3765018E+05	  0.3802553E+04	  0.2937212E+04	  0.0000000E+00	  0.0000000E+00	  0.1343017E+07	  0.2549675E+01
  0.4200000E+00	  0.4143000E+19	  0.3726300E+20	  0.2789500E+20	  0.3751801E+05	  0.3769490E+04	  0.2899000E+04	  0.0000000E+00	  0.0000000E+00	  0.1340658E+07	  0.2602178E+01
  0.4250000E+00	  0.4097159E+19	  0.3709909E+20	  0.2780789E+20	  0.3738486E+05	  0.3736416E+04	  0.2860843E+04	  0.0000000E+00	  0.0000000E+00	  0.1338277E+07	  0.2657814E+01
  0.4300000E+00	  0.4051000E+19	  0.3693400E+20	  0.2772000E+20	  0.3725043E+05	  0.3703340E+04	  0.2822750E+04	  0.0000000E+00	  0.0000000E+00	  0.1335869E+07	  0.2715308E+01
  0.4350000E+00	  0.4004134E+19	  0.3676748E+20	  0.2761638E+20	  0.3711449E+05	  0.3670267E+04	  0.2784729E+04	  0.0000000E+00	  0.0000000E+00	  0.1333429E+07	  0.2773253E+01
  0.4400000E+00	  0.3957000E+19	  0.3660000E+20	  0.2751200E+20	  0.3697672E+05	  0.3637200E+04	  0.2746790E+04	  0.0000000E+00	  0.0000000E+00	  0.1330952E+07	  0.2833112E+01
  0.4450000E+00	  0.3910055E+19	  0.3643199E+20	  0.2742184E+20	  0.3683680E+05	  0.3604141E+04	  0.2708945E+04	  0.0000000E+00	  0.0000000E+00	  0.1328431E+07	  0.2896505E+01
  0.4500000E+00	  0.3863000E+19	  0.3626300E+20	  0.2733100E+20	  0.3669442E+05	  0.3571100E+04	  0.2671200E+04	  0.0000000E+00	  0.0000000E+00	  0.1325861E+07	  0.2962054E+01
  0.4550000E+00	  0.3815522E+19	  0.3609255E+20	  0.2722451E+20	  0.3654939E+05	  0.3538089E+04	  0.2633563E+04	  0.0000000E+00	  0.0000000E+00	  0.1323239E+07	  0.3028221E+01
  0.4600000E+00	  0.3768000E+19	  0.3592100E+20	  0.2711700E+20	  0.3640210E+05	  0.3505110E+04	  0.2596050E+04	  0.0000000E+00	  0.0000000E+00	  0.1320570E+07	  0.3096596E+01
  0.4650000E+00	  0.3720859E+19	  0.3574880E+20	  0.2702326E+20	  0.3625305E+05	  0.3472164E+04	  0.2558674E+04	  0.0000000E+00	  0.0000000E+00	  0.1317863E+07	  0.3168944E+01
  0.4700000E+00	  0.3674000E+19	  0.3557600E+20	  0.2692900E+20	  0.3610273E+05	  0.3439260E+04	  0.2521440E+04	  0.0000000E+00	  0.0000000E+00	  0.1315128E+07	  0.3243777E+01
  0.4750000E+00	  0.3627294E+19	  0.3540249E+20	  0.2681970E+20	  0.3595159E+05	  0.3406407E+04	  0.2484350E+04	  0.0000000E+00	  0.0000000E+00	  0.1312373E+07	  0.3319417E+01
  0.4800000E+00	  0.3581000E+19	  0.3522800E+20	  0.2670900E+20	  0.3579998E+05	  0.3373610E+04	  0.2447420E+04	  0.0000000E+00	  0.0000000E+00	  0.1309603E+07	  0.3397565E+01
  0.4850000E+00	  0.3535340E+19	  0.3505235E+20	  0.2661067E+20	  0.3564830E+05	  0.3340872E+04	  0.2410665E+04	  0.0000000E+00	  0.0000000E+00	  0.1306825E+07	  0.3480121E+01
  0.4900000E+00	  0.3490000E+19	  0.3487600E+20	  0.2651100E+20	  0.3549728E+05	  0.3308200E+04	  0.2374090E+04	  0.0000000E+00	  0.0000000E+00	  0.1304054E+07	  0.3565451E+01
  0.4950000E+00	  0.3444720E+19	  0.3469935E+20	  0.2639636E+20	  0.3534763E+05	  0.3275601E+04	  0.2337701E+04	  0.0000000E+00	  0.0000000E+00	  0.1301303E+07	  0.3651742E+01
  0.5000000E+00	  0.3400000E+19	  0.3452200E+20	  0.2628100E+20	  0.3519963E+05	  0.3243080E+04	  0.2301510E+04	  0.0000000E+00	  0.0000000E+00	  0.1298575E+07	  0.3740998E+01
  0.5050000E+00	  0.3356280E+19	  0.3434350E+20	  0.2617903E+20	  0.3505333E+05	  0.3210640E+04	  0.2265531E+04	  0.0000000E+00	  0.0000000E+00	  0.1295874E+07	  0.3835438E+01
  0.5100000E+00	  0.3313000E+19	  0.3416400E+20	  0.2607600E+20	  0.3490834E+05	  0.3178290E+04	  0.2229770E+04	  0.0000000E+00	  0.0000000E+00	  0.1293191E+07	  0.3933173E+01
  0.5150000E+00	  0.3269535E+19	  0.3398379E+20	  0.2595753E+20	  0.3476421E+05	  0.3146038E+04	  0.2194236E+04	  0.0000000E+00	  0.0000000E+00	  0.1290519E+07	  0.4032065E+01
  0.5200000E+00	  0.3226000E+19	  0.3380300E+20	  0.2583800E+20	  0.3462071E+05	  0.3113890E+04	  0.2158940E+04	  0.0000000E+00	  0.0000000E+00	  0.1287852E+07	  0.4134316E+01
  0.5250000E+00	  0.3182579E+19	  0.3362172E+20	  0.2573198E+20	  0.3447759E+05	  0.3081849E+04	  0.2123896E+04	  0.0000000E+00	  0.0000000E+00	  0.1285188E+07	  0.4242426E+01
  0.5300000E+00	  0.3139000E+19	  0.3344000E+20	  0.2562600E+20	  0.3433440E+05	  0.3049920E+04	  0.2089110E+04	  0.0000000E+00	  0.0000000E+00	  0.1282516E+07	  0.4354451E+01
  0.5350000E+00	  0.3094898E+19	  0.3325783E+20	  0.2550642E+20	  0.3419059E+05	  0.3018106E+04	  0.2054588E+04	  0.0000000E+00	  0.0000000E+00	  0.1279828E+07	  0.4468167E+01
  0.5400000E+00	  0.3050000E+19	  0.3307500E+20	  0.2538700E+20	  0.3404559E+05	  0.2986420E+04	  0.2020340E+04	  0.0000000E+00	  0.0000000E+00	  0.1277111E+07	  0.4586017E+01
  0.5450000E+00	  0.3004203E+19	  0.3289135E+20	  0.2528145E+20	  0.3389889E+05	  0.2954871E+04	  0.1986376E+04	  0.0000000E+00	  0.0000000E+00	  0.1274356E+07	  0.4710737E+01
  0.5500000E+00	  0.2958000E+19	  0.3270700E+20	  0.2517600E+20	  0.3375040E+05	  0.2923460E+04	  0.1952710E+04	  0.0000000E+00	  0.0000000E+00	  0.1271562E+07	  0.4840054E+01
  0.5550000E+00	  0.2911788E+19	  0.3252215E+20	  0.2505690E+20	  0.3360023E+05	  0.2892186E+04	  0.1919353E+04	  0.0000000E+00	  0.0000000E+00	  0.1268730E+07	  0.4971377E+01
  0.5600000E+00	  0.2865000E+19	  0.3233700E+20	  0.2493800E+20	  0.3344889E+05	  0.2861060E+04	  0.1886310E+04	  0.0000000E+00	  0.0000000E+00	  0.1265870E+07	  0.5107439E+01
  0.5650000E+00	  0.2817144E+19	  0.3215167E+20	  0.2483308E+20	  0.3329692E+05	  0.2830094E+04	  0.1853587E+04	  0.0000000E+00	  0.0000000E+00	  0.1262991E+07	  0.5251318E+01
  0.5700000E+00	  0.2769000E+19	  0.3196600E+20	  0.2472800E+20	  0.3314447E+05	  0.2799290E+04	  0.1821200E+04	  0.0000000E+00	  0.0000000E+00	  0.1260096E+07	  0.5400390E+01
  0.5750000E+00	  0.2721386E+19	  0.3177979E+20	  0.2460866E+20	  0.3299164E+05	  0.2768649E+04	  0.1789163E+04	  0.0000000E+00	  0.0000000E+00	  0.1257188E+07	  0.5551662E+01
  0.5800000E+00	  0.2674000E+19	  0.3159300E+20	  0.2448900E+20	  0.3283859E+05	  0.2738180E+04	  0.1757480E+04	  0.0000000E+00	  0.0000000E+00	  0.1254268E+07	  0.5708282E+01
  0.5850000E+00	  0.2626437E+19	  0.3140569E+20	  0.2438290E+20	  0.3268544E+05	  0.2707892E+04	  0.1726154E+04	  0.0000000E+00	  0.0000000E+00	  0.1251340E+07	  0.5873793E+01
  0.5900000E+00	  0.2579000E+19	  0.3121800E+20	  0.2427600E+20	  0.3253213E+05	  0.2677790E+04	  0.1695200E+04	  0.0000000E+00	  0.0000000E+00	  0.1248402E+07	  0.6045072E+01
  0.5950000E+00	  0.2532114E+19	  0.3103009E+20	  0.2415399E+20	  0.3237847E+05	  0.2647877E+04	  0.1664634E+04	  0.0000000E+00	  0.0000000E+00	  0.1245450E+07	  0.6218545E+01
  0.6000000E+00	  0.2486000E+19	  0.3084200E+20	  0.2403100E+20	  0.3222398E+05	  0.2618160E+04	  0.1634460E+04	  0.0000000E+00	  0.0000000E+00	  0.1242475E+07	  0.6397771E+01
  0.6050000E+00	  0.2440730E+19	  0.3065372E+20	  0.2392128E+20	  0.3206802E+05	  0.2588646E+04	  0.1604684E+04	  0.0000000E+00	  0.0000000E+00	  0.1239465E+07	  0.6586846E+01
  0.6100000E+00	  0.2396000E+19	  0.3046500E+20	  0.2381100E+20	  0.3190972E+05	  0.2559340E+04	  0.1575320E+04	  0.0000000E+00	  0.0000000E+00	  0.1236402E+07	  0.6782411E+01
