theta	phi(  2)	phi(  4)	phi(  6)	phi(  9)	phi( 13)	phi( 18)	phi( 24)	phi( 30)	phi( 37)	phi( 45)	phi( 54)	phi( 64)	phi( 74)	phi( 85)	phi( 97)
 223.20	  90.00106	  89.99522	  89.98081	  89.95244	  89.91432	  89.87502	  89.83941	  89.81659	  89.80271	  89.80267	  89.82087	  89.87435	  89.97372	  90.13030	  90.58675
 226.80	  90.00097	  89.99424	  89.97836	  89.94733	  89.90562	  89.86228	  89.82246	  89.79612	  89.77880	  89.77559	  89.79053	  89.83999	  89.93348	  90.07825	  90.35474
 230.40	  90.00085	  89.99314	  89.97575	  89.94199	  89.89657	  89.84903	  89.80469	  89.77446	  89.75317	  89.74607	  89.75669	  89.80059	  89.88646	  90.01790	  90.23805
 234.00	  90.00070	  89.99191	  89.97296	  89.93641	  89.88718	  89.83523	  89.78608	  89.75157	  89.72577	  89.71403	  89.71932	  89.75624	  89.83302	  89.94968	  90.26615
 237.60	  90.00051	  89.99055	  89.96999	  89.93059	  89.87743	  89.82089	  89.76661	  89.72743	  89.69655	  89.67944	  89.67840	  89.70704	  89.77349	  89.87409	  90.29122
 241.20	  90.00030	  89.98907	  89.96685	  89.92453	  89.86734	  89.80600	  89.74627	  89.70201	  89.66552	  89.64231	  89.63400	  89.65318	  89.70818	  89.79171	  90.18638
 244.80	  90.00006	  89.98746	  89.96354	  89.91824	  89.85691	  89.79057	  89.72508	  89.67535	  89.63271	  89.60270	  89.58622	  89.59486	  89.63747	  89.70325	  90.02732
 248.40	  89.99979	  89.98574	  89.96006	  89.91173	  89.84617	  89.77464	  89.70308	  89.64750	  89.59819	  89.56072	  89.53521	  89.53234	  89.56175	  89.60949	  89.98682
 252.00	  89.99950	  89.98392	  89.95643	  89.90501	  89.83513	  89.75823	  89.68031	  89.61853	  89.56208	  89.51653	  89.48121	  89.46594	  89.48149	  89.51117	  90.05803
 255.60	  89.99920	  89.98203	  89.95267	  89.89812	  89.82383	  89.74141	  89.65688	  89.58858	  89.52455	  89.47034	  89.42449	  89.39602	  89.39720	  89.40901	  89.99902
