R(  2)	Z(  2)	R(  4)	Z(  4)	R(  6)	Z(  6)	R(  9)	Z(  9)	R( 13)	Z( 13)	R( 18)	Z( 18)	R( 24)	Z( 24)	R( 30)	Z( 30)	R( 37)	Z( 37)	R( 45)	Z( 45)	R( 54)	Z( 54)	R( 64)	Z( 64)	R( 74)	Z( 74)	R( 85)	Z( 85)	R( 97)	Z( 97)
 1.869768E+00	 5.101465E-02	 1.858363E+00	 1.148711E-01	 1.842914E+00	 1.534561E-01	 1.820214E+00	 1.960305E-01	 1.794881E+00	 2.399125E-01	 1.770165E+00	 2.847005E-01	 1.746170E+00	 3.302155E-01	 1.726220E+00	 3.702087E-01	 1.705703E+00	 4.120515E-01	 1.684558E+00	 4.553160E-01	 1.657453E+00	 4.990449E-01	 1.618544E+00	 5.430826E-01	 1.574318E+00	 5.863636E-01	 1.522049E+00	 6.401139E-01	 4.005383E+00	 2.093852E+00
 1.867453E+00	 5.146461E-02	 1.853160E+00	 1.150506E-01	 1.836072E+00	 1.530051E-01	 1.811683E+00	 1.947445E-01	 1.784635E+00	 2.378412E-01	 1.758147E+00	 2.820142E-01	 1.732388E+00	 3.270424E-01	 1.710919E+00	 3.667119E-01	 1.688874E+00	 4.082428E-01	 1.666240E+00	 4.511854E-01	 1.638328E+00	 4.942794E-01	 1.600243E+00	 5.373829E-01	 1.558331E+00	 5.802613E-01	 1.509805E+00	 6.346176E-01	 3.457763E+00	 1.703102E+00
 1.865146E+00	 5.170711E-02	 1.848069E+00	 1.147600E-01	 1.829455E+00	 1.519706E-01	 1.803506E+00	 1.927728E-01	 1.774877E+00	 2.349493E-01	 1.746744E+00	 2.783593E-01	 1.719335E+00	 3.227557E-01	 1.696438E+00	 3.619703E-01	 1.672958E+00	 4.030524E-01	 1.648929E+00	 4.455352E-01	 1.620291E+00	 4.879522E-01	 1.583032E+00	 5.302751E-01	 1.543321E+00	 5.729751E-01	 1.498349E+00	 6.281267E-01	 2.329199E+00	 1.111704E+00
 1.862856E+00	 5.174495E-02	 1.843103E+00	 1.140238E-01	 1.823071E+00	 1.504033E-01	 1.795684E+00	 1.901685E-01	 1.765603E+00	 2.312954E-01	 1.735950E+00	 2.738075E-01	 1.707003E+00	 3.174377E-01	 1.682767E+00	 3.560741E-01	 1.657941E+00	 3.965789E-01	 1.632605E+00	 4.384738E-01	 1.603306E+00	 4.801762E-01	 1.566834E+00	 5.218481E-01	 1.529174E+00	 5.645500E-01	 1.487541E+00	 6.206634E-01	 1.312937E+00	 6.899694E-01
 1.860593E+00	 5.158113E-02	 1.838276E+00	 1.128715E-01	 1.816922E+00	 1.483477E-01	 1.788216E+00	 1.869727E-01	 1.756812E+00	 2.269319E-01	 1.725757E+00	 2.684272E-01	 1.695379E+00	 3.111676E-01	 1.669890E+00	 3.491104E-01	 1.643804E+00	 3.889172E-01	 1.617246E+00	 4.301047E-01	 1.587331E+00	 4.710538E-01	 1.551581E+00	 5.121749E-01	 1.515795E+00	 5.550204E-01	 1.477267E+00	 6.122390E-01	 9.151459E-01	 5.657671E-01
 1.858365E+00	 5.121861E-02	 1.833597E+00	 1.113331E-01	 1.811013E+00	 1.458355E-01	 1.781106E+00	 1.832154E-01	 1.748498E+00	 2.219059E-01	 1.716154E+00	 2.622825E-01	 1.684447E+00	 3.040201E-01	 1.657788E+00	 3.411611E-01	 1.630525E+00	 3.801565E-01	 1.602827E+00	 4.205244E-01	 1.572332E+00	 4.606761E-01	 1.537216E+00	 5.013152E-01	 1.503110E+00	 5.444075E-01	 1.467441E+00	 6.028463E-01	 1.116631E+00	 6.224821E-01
 1.856179E+00	 5.066054E-02	 1.829078E+00	 1.094329E-01	 1.805353E+00	 1.428832E-01	 1.774362E+00	 1.789198E-01	 1.740661E+00	 2.162620E-01	 1.707128E+00	 2.554339E-01	 1.674189E+00	 2.960653E-01	 1.646441E+00	 3.323034E-01	 1.618083E+00	 3.703804E-01	 1.589322E+00	 4.098224E-01	 1.558273E+00	 4.491253E-01	 1.523690E+00	 4.893191E-01	 1.491064E+00	 5.327199E-01	 1.458001E+00	 5.924582E-01	 1.423574E+00	 6.644425E-01
 1.854044E+00	 4.991077E-02	 1.824731E+00	 1.071861E-01	 1.799958E+00	 1.394971E-01	 1.767993E+00	 1.741094E-01	 1.733296E+00	 2.100450E-01	 1.698667E+00	 2.479385E-01	 1.664585E+00	 2.873688E-01	 1.635826E+00	 3.226095E-01	 1.606450E+00	 3.596680E-01	 1.576704E+00	 3.980829E-01	 1.545122E+00	 4.364784E-01	 1.510963E+00	 4.762310E-01	 1.479612E+00	 5.199571E-01	 1.448899E+00	 5.810294E-01	 1.269907E+00	 5.501481E-01
 1.851966E+00	 4.897435E-02	 1.820572E+00	 1.045997E-01	 1.794842E+00	 1.356825E-01	 1.762003E+00	 1.688130E-01	 1.726396E+00	 2.033009E-01	 1.690753E+00	 2.398508E-01	 1.655615E+00	 2.779924E-01	 1.625918E+00	 3.121478E-01	 1.595601E+00	 3.480938E-01	 1.564944E+00	 3.853863E-01	 1.532845E+00	 4.228082E-01	 1.499000E+00	 4.620921E-01	 1.468720E+00	 5.061138E-01	 1.440097E+00	 5.685003E-01	 4.812203E-01	 2.385313E-01
 1.849951E+00	 4.785775E-02	 1.816613E+00	 1.016778E-01	 1.790020E+00	 1.314521E-01	 1.756394E+00	 1.630665E-01	 1.719952E+00	 1.960758E-01	 1.683372E+00	 2.312223E-01	 1.647257E+00	 2.679941E-01	 1.616693E+00	 3.009821E-01	 1.585508E+00	 3.357279E-01	 1.554010E+00	 3.718077E-01	 1.521411E+00	 4.081840E-01	 1.487771E+00	 4.469420E-01	 1.458357E+00	 4.911843E-01	 1.431563E+00	 5.548018E-01	-5.525266E-01	-1.857285E-01
 1.848004E+00	 4.656872E-02	 1.812863E+00	 9.842738E-02	 1.785495E+00	 1.268297E-01	 1.751159E+00	 1.569107E-01	 1.713951E+00	 1.884155E-01	 1.676505E+00	 2.221015E-01	 1.639489E+00	 2.574278E-01	 1.608127E+00	 2.891722E-01	 1.576143E+00	 3.226359E-01	 1.543872E+00	 3.574177E-01	 1.510789E+00	 3.926708E-01	 1.477253E+00	 4.308201E-01	 1.448502E+00	 4.751663E-01	 1.423265E+00	 5.398610E-01	-1.147765E+00	-5.045625E-01
